split,acc,macroP,macroR,macroF1,wF1,balAcc,recall_zero_pct,recall_min,recall_med
valid,99.2413,98.8619,99.2413,98.9884,98.9884,99.2413,0.7587,0.0000,100.0000
test,98.6291,98.9868,98.6322,98.5106,98.5072,98.6322,0.1520,0.0000,100.0000
