epoch,train_loss,val_loss,map,mAP03,prec,rec,f1
153,0.186276,2.355645,0.645155,0.989904,0.998592,1.000000,0.999295
154,0.186552,2.366412,0.645057,0.989708,0.998592,1.000000,0.999295
155,0.183291,2.349356,0.644264,0.989931,0.000000,0.000000,0.000000
156,0.181970,2.361722,0.648231,0.989624,0.998592,1.000000,0.999295
157,0.189450,2.357855,0.644634,0.989694,0.998592,1.000000,0.999295
158,0.186672,2.357544,0.643270,0.989876,0.000000,0.000000,0.000000
159,0.185322,2.364085,0.641569,0.989778,0.000000,0.000000,0.000000
160,0.184396,2.365535,0.646187,0.989806,0.998592,1.000000,0.999295
161,0.187152,2.372616,0.653095,0.989931,0.000000,0.000000,0.000000
162,0.184301,2.357210,0.646444,0.989792,0.998592,1.000000,0.999295
163,0.184614,2.355991,0.650924,0.989722,0.000000,0.000000,0.000000
164,0.187827,2.357667,0.648255,0.989680,0.000000,0.000000,0.000000
165,0.185520,2.375146,0.646319,0.989876,0.000000,0.000000,0.000000
166,0.185574,2.373395,0.642679,0.989666,0.000000,0.000000,0.000000
167,0.185209,2.366677,0.647446,0.989736,0.000000,0.000000,0.000000
168,0.186204,2.361349,0.643365,0.989540,0.000000,0.000000,0.000000
169,0.186175,2.371351,0.643642,0.989778,0.000000,0.000000,0.000000
170,0.185534,2.364057,0.647896,0.989959,0.998592,1.000000,0.999295
171,0.188733,2.369364,0.641905,0.989708,0.000000,0.000000,0.000000
172,0.185115,2.362910,0.649336,0.989638,0.998592,1.000000,0.999295
173,0.187211,2.357184,0.648271,0.989764,0.000000,0.000000,0.000000
174,0.184880,2.362395,0.649489,0.989806,0.000000,0.000000,0.000000
175,0.184210,2.363416,0.646592,0.989750,0.998592,1.000000,0.999295
176,0.184054,2.368215,0.643199,0.989638,0.997187,1.000000,0.998592
177,0.189466,2.368684,0.649714,0.989722,0.998592,1.000000,0.999295
178,0.185760,2.362000,0.651575,0.989582,0.000000,0.000000,0.000000
179,0.184929,2.354923,0.645643,0.989834,0.998592,1.000000,0.999295
180,0.184882,2.376492,0.643902,0.989862,0.000000,0.000000,0.000000
181,0.182897,2.365524,0.645394,0.989806,0.000000,0.000000,0.000000
182,0.185663,2.359322,0.647206,0.989680,0.997187,1.000000,0.998592
183,0.187224,2.346820,0.647932,0.989722,0.997187,1.000000,0.998592
184,0.182254,2.360842,0.647104,0.989764,0.997187,1.000000,0.998592
185,0.185024,2.353249,0.645993,0.989778,0.000000,0.000000,0.000000
186,0.180997,2.369492,0.649387,0.989764,0.000000,0.000000,0.000000
187,0.184245,2.366438,0.645381,0.989820,0.000000,0.000000,0.000000
188,0.185836,2.360577,0.643931,0.989876,0.000000,0.000000,0.000000
189,0.186940,2.359419,0.652692,0.989638,0.997187,1.000000,0.998592
190,0.184835,2.363784,0.645813,0.989848,0.000000,0.000000,0.000000
191,0.184642,2.372569,0.648851,0.989778,0.000000,0.000000,0.000000
192,0.184901,2.356725,0.647061,0.989806,0.000000,0.000000,0.000000
193,0.188283,2.354845,0.649678,0.989736,0.997187,1.000000,0.998592
194,0.187990,2.367062,0.650320,0.989638,0.000000,0.000000,0.000000
195,0.182280,2.355529,0.647273,0.989596,0.995787,1.000000,0.997889
196,0.185380,2.359322,0.648119,0.989638,0.000000,0.000000,0.000000
197,0.185104,2.370228,0.646111,0.989708,0.000000,0.000000,0.000000
198,0.185725,2.360106,0.646710,0.989750,0.998592,1.000000,0.999295
199,0.186160,2.353917,0.646180,0.989806,0.998592,1.000000,0.999295
200,0.184167,2.365736,0.643843,0.989806,0.000000,0.000000,0.000000
